m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;mean;variance;std_deviation;ci;ci_upper;ci_lower
55;1,457867;1,461295;1,459327;1,458499;1,461802;1,468081;1,460241;1,463858;1,457851;1,458802;1,458733;1,458247;1,462911;1,456798;1,460378;1,509294;1,765296;1,466368;1,457532;1,458372;1,461623;1,460439;1,45662;1,458209;1,483151;1,457186;1,460977;1,461421;1,45806;1,488808;1,4736015333;0,0031605103;0,0562184159;0,0006436243;1,4742451577;1,472957909
56;1,540543;1,542474;1,542067;1,545045;1,548299;1,545329;1,542897;1,540822;1,543922;1,54242;1,543783;1,539932;1,545565;1,551518;1,540897;1,542528;1,546513;1,543378;1,541311;1,546191;1,543257;1,542034;1,543679;1,54196;1,563028;1,5502;1,553185;1,544371;1,540081;1,54238;1,5446536333;2,26938872057474E-05;0,0047638102;5,45391424078921E-05;1,5447081725;1,5445990942
57;1,585499;1,586125;1,585527;1,593869;1,591101;1,586912;1,587582;1,592205;1,589609;1,586083;1,589197;1,589015;1,586168;1,606346;1,587601;1,59035;1,586654;1,585796;1,586018;1,588616;1,590618;1,58582;1,588003;1,585866;1,588903;1,588965;1,588302;1,593034;1,589124;1,587626;1,5888844667;1,60544780505745E-05;0,004006804;4,58724519081983E-05;1,5889303391;1,5888385942
58;1,641781;1,636025;1,637174;1,636093;1,636336;1,634288;1,657345;1,631978;1,63854;1,643921;1,639621;1,632135;1,635347;1,635413;1,632454;1,63729;1,639257;1,644517;1,644711;1,636453;1,633686;1,636231;1,641639;1,635226;1,645083;1,634884;1,634228;1,639062;1,636146;1,633301;1,6380055;2,76495298448275E-05;0,005258282;6,02001722823059E-05;1,6380657002;1,6379452998
59;1,77181;1,7865;1,77105;1,770927;1,778865;1,77279;1,796527;1,769538;1,787193;1,770338;1,772768;1,769502;1,772718;1,771139;1,771637;1,77378;1,773636;1,77569;1,770371;1,772713;1,772477;1,769893;1,773044;1,775017;1,773565;1,774048;1,771031;1,76958;1,769243;1,771291;1,7739560333;3,63371792747126E-05;0,0060280328;6,90127708263663E-05;1,7740250461;1,7738870206
60;2,300457;2,304819;2,326895;2,30286;2,306813;2,305815;2,312808;2,305299;2,304746;2,302709;2,3022;2,303812;2,312822;2,308807;2,302588;2,302852;2,307625;2,304226;2,306953;2,303025;2,310768;2,313308;2,313109;2,311642;2,308527;2,323959;2,307283;2,302177;2,301855;2,305447;2,3075402;3,79057677517243E-05;0,006156766;7,04865910671441E-05;2,3076106866;2,3074697134
61;2,410588;2,404434;2,407338;2,404567;2,403466;2,411377;2,406549;2,408139;2,412097;2,41044;2,410178;2,408199;2,405889;2,405599;2,415002;2,407964;2,427584;2,412709;2,425399;2,405014;2,410428;2,402562;2,41074;2,409996;2,409299;2,41173;2,426019;2,405004;2,408933;2,410365;2,4102536;3,86264599034483E-05;0,0062150189;7,11535073029897E-05;2,4103247535;2,4101824465
62;2,654682;2,659864;2,663004;2,662181;2,661646;2,658287;2,756379;2,652086;2,660831;2,659257;2,676059;2,657616;2,661257;2,662757;2,656502;2,661241;2,661425;2,70212;2,677499;2,678521;2,669522;2,657278;2,665875;2,656629;2,665798;2,678245;2,668264;2,659946;2,750404;2,661661;2,6705612;0,0006041598;0,0245796619;0,0002814037;2,6708426037;2,6702797963
63;2,700957;2,704813;2,692971;2,700792;2,694905;2,700292;2,700501;2,692937;2,69728;2,695066;2,69521;2,690668;2,694039;2,69301;2,861051;2,698104;2,837812;2,698543;2,695404;2,715135;2,693094;2,703702;2,700424;2,694383;2,737463;2,698086;2,695793;2,697291;2,698827;2,701654;2,7093402333;0,0015335918;0,0391611006;0,0004483413;2,7097885746;2,708891892
64;2,755523;2,774194;2,771304;2,761314;2,754162;2,768044;2,757497;2,754721;2,752438;2,771232;2,759721;2,761764;2,756674;2,751821;2,752983;2,78243;2,769095;2,752075;2,755977;2,7583;2,756152;2,751776;2,754263;2,756558;2,753481;2,75362;2,755615;2,760145;2,757186;2,775041;2,7598368667;6,64957870160914E-05;0,0081544949;9,3357867720357E-05;2,7599302245;2,7597435088
