m;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;Tempo Médio Recursivo;variance;std_deviation;ci;ci_upper;ci_lower
48;48;420,215162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;234,107581;69272,0634113431;263,1958651107;3,0132344273;237,1208154273;231,0943465727
49;49;628,035319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;338,5176595;167640,950324716;409,4398006114;4,6875284405;343,2051879405;333,8301310595
51;668,435625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;668,435625;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
52;730,429666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;730,429666;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
53;801,622418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;801,622418;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
54;855,365854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;855,365854;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
55;939,03494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;939,03494;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
56;1496,303716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1496,303716;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
